	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subspecies	Name
MGS.hg0970	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0971	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cutis	unclassified	Bacteroides cutis
MGS.hg0972	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0973	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger	unclassified	Desulfovibrio piger
MGS.hg0974	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides finegoldii	unclassified	Bacteroides finegoldii
MGS.hg0975	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0976	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0977	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0978	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	unclassified	unclassified	Veillonella sp.
MGS.hg0979	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0980	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0981	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	unclassified	unclassified	unclassified	Rikenellaceae sp.
MGS.hg0982	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	unclassified	unclassified	unclassified	unclassified	Acidaminococcales sp.
MGS.hg0983	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg0984	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0985	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg0986	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	unclassified	unclassified	Desulfovibrio sp.
MGS.hg0987	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium mortiferum	unclassified	Fusobacterium mortiferum
MGS.hg0988	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg0989	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0990	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica	unclassified	Raoultella ornithinolytica
MGS.hg0991	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0992	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg0993	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	Faecalitalea cylindroides	unclassified	Faecalitalea cylindroides
MGS.hg0994	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified	unclassified	Bacteroides sp.
MGS.hg0995	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg0996	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg0997	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Mediterranea	Mediterranea massiliensis	unclassified	Mediterranea massiliensis
MGS.hg0998	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg0999	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified	Betaproteobacteria sp.
MGS.hg1000	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1001	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1002	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	unclassified	unclassified	unclassified	unclassified	Eggerthellales sp.
MGS.hg1003	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	unclassified	unclassified	unclassified	Veillonellaceae sp.
MGS.hg1004	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1005	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella sp. An22	unclassified	Barnesiella sp. An22
MGS.hg1006	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1007	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1008	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg1009	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1010	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. SN4	unclassified	Parabacteroides sp. SN4
MGS.hg1011	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1012	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unclassified	unclassified	unclassified	Erysipelotrichaceae sp.
MGS.hg1013	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg1014	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unclassified	unclassified	unclassified	unclassified	Burkholderiales sp.
MGS.hg1015	Bacteria	Candidatus Melainabacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Melainabacteria sp.
MGS.hg1016	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg1017	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Emergencia	Emergencia timonensis	unclassified	Emergencia timonensis
MGS.hg1018	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidetes sp.
MGS.hg1019	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	unclassified	unclassified	Prevotellaceae sp.
MGS.hg1020	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides barnesiae	unclassified	Bacteroides barnesiae
MGS.hg1021	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercorirosoris	unclassified	Bacteroides stercorirosoris
MGS.hg1022	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1023	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1024	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	unclassified	unclassified	Prevotellaceae sp.
MGS.hg1025	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1026	Bacteria	Bacteroidetes	Bacteroidia	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidia sp.
MGS.hg1027	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1028	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1029	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg1030	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg1031	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1032	Bacteria	Bacteroidetes	Bacteroidia	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidia sp.
MGS.hg1033	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia paralvei	unclassified	Hafnia paralvei
MGS.hg1034	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Odoribacter sp. AF15-53	unclassified	Odoribacter sp. AF15-53
MGS.hg1035	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae
MGS.hg1036	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	unclassified	Escherichia coli
MGS.hg1037	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa	unclassified	Rothia mucilaginosa
MGS.hg1038	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	unclassified	unclassified	Veillonella sp.
MGS.hg1039	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	unclassified	unclassified	Prevotellaceae sp.
MGS.hg1040	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg1041	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris	unclassified	Bacteroides stercoris
MGS.hg1042	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea formicigenerans	unclassified	Dorea formicigenerans
MGS.hg1043	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium phoceensis	unclassified	Clostridium phoceensis
MGS.hg1044	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1045	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	Lactococcus lactis subsp. lactis	Lactococcus lactis subsp. lactis
MGS.hg1046	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1047	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1048	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	unclassified	unclassified	Akkermansia sp.
MGS.hg1049	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	unclassified	Enterococcus faecium
MGS.hg1050	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	unclassified	Staphylococcus epidermidis
MGS.hg1051	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania massiliensis	unclassified	Holdemania massiliensis
MGS.hg1052	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum	unclassified	Enterococcus gallinarum
MGS.hg1053	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1054	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lutetiensis	unclassified	Streptococcus lutetiensis
MGS.hg1055	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella seminalis	unclassified	Veillonella seminalis
MGS.hg1056	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1057	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1058	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnospiraceae bacterium 1_4_56FAA	unclassified	Lachnospiraceae bacterium 1_4_56FAA
MGS.hg1059	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hungatella	Clostridiales bacterium VE202-21	unclassified	Clostridiales bacterium VE202-21
MGS.hg1060	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1061	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	unclassified	unclassified	unclassified	unclassified	Acidaminococcales sp.
MGS.hg1062	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1063	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus avium	unclassified	Enterococcus avium
MGS.hg1064	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1065	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola	Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae
MGS.hg1066	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	[Clostridium] saccharolyticum	unclassified	[Clostridium] saccharolyticum
MGS.hg1067	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg1068	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1069	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1070	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	unclassified	Klebsiella oxytoca
MGS.hg1071	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	unclassified	Lactobacillus gasseri
MGS.hg1072	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg1073	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pasteurianus	unclassified	Streptococcus pasteurianus
MGS.hg1074	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1075	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	unclassified	unclassified	unclassified	Brachyspiraceae sp.
MGS.hg1076	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1077	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1078	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1079	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1080	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	unclassified	unclassified	unclassified	Bacteroidaceae sp.
MGS.hg1081	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus	unclassified	Lactobacillus rhamnosus
MGS.hg1082	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei	Lactobacillus paracasei subsp. paracasei	Lactobacillus paracasei subsp. paracasei
MGS.hg1083	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1084	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massiliomicrobiota	Massiliomicrobiota timonensis	unclassified	Massiliomicrobiota timonensis
MGS.hg1085	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1086	Bacteria	Bacteroidetes	Bacteroidia	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidia sp.
MGS.hg1087	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius	unclassified	Lactobacillus salivarius
MGS.hg1088	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus	unclassified	Enterococcus casseliflavus
MGS.hg1089	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1090	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter sanguinis	unclassified	Turicibacter sanguinis
MGS.hg1091	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg1092	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1093	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	Enterobacter cloacae subsp. cloacae	Enterobacter cloacae subsp. cloacae
MGS.hg1094	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1095	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1096	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1097	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. Marseille-P2431	unclassified	Alistipes sp. Marseille-P2431
MGS.hg1098	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1099	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1100	Bacteria	Candidatus Melainabacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Melainabacteria sp.
MGS.hg1101	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1102	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1103	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1104	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1105	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1106	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium butyricum	unclassified	Clostridium butyricum
MGS.hg1107	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1108	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1109	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1110	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	unclassified	unclassified	Porphyromonas sp.
MGS.hg1111	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg1112	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1113	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1114	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1115	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1116	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteroidetes sp.
MGS.hg1117	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	unclassified	unclassified	unclassified	Atopobiaceae sp.
MGS.hg1118	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1119	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1120	Bacteria	Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Urmitella	Urmitella timonensis	unclassified	Urmitella timonensis
MGS.hg1121	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1122	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified	unclassified	Ruminococcus sp.
MGS.hg1123	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1124	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg1125	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1126	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sartorii	unclassified	Bacteroides sartorii
MGS.hg1127	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1128	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1129	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1130	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1131	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified	unclassified	Lachnospiraceae sp.
MGS.hg1132	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1133	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg1134	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1135	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1136	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1137	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg1138	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1139	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1140	Bacteria	Firmicutes	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Firmicutes sp.
MGS.hg1141	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1142	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1143	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg1144	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Culturomica	Culturomica massiliensis	unclassified	Culturomica massiliensis
MGS.hg1145	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg1146	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1147	Archaea	Euryarchaeota	Thermoplasmata	Methanomicrobiales	unclassified	unclassified	unclassified	unclassified	Methanomicrobiales sp.
MGS.hg1148	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	unclassified	unclassified	unclassified	unclassified	Eggerthellales sp.
MGS.hg1149	Bacteria	Candidatus Melainabacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Candidatus Melainabacteria sp.
MGS.hg1150	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified	unclassified	Ruminococcaceae sp.
MGS.hg1151	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	unclassified	Clostridiales sp.
MGS.hg1152	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	unclassified	unclassified	Acidaminococcus sp.
MGS.hg1153	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. OM08-24	unclassified	Eubacterium sp. OM08-24
MGS.hg1154	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	unclassified	Lactococcus garvieae
MGS.hg1155	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1156	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1157	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1158	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	unclassified	Bacteroidales sp.
MGS.hg1159	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
MGS.hg1160	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Proteobacteria sp.
MGS.hg1161	Bacteria	Firmicutes	Clostridia	unclassified	unclassified	unclassified	unclassified	unclassified	Clostridia sp.
MGS.hg1162	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Bacteria sp.
MGS.hg1163	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified sp.
